Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026018,Boston 007B,5,Private rented: Private landlord or letting agency,56
E01026018,Boston 007B,6,Private rented: Other private rented,9
E01026018,Boston 007B,7,Lives rent free,0
E01026019,Boston 007C,-8,Does not apply,0
E01026019,Boston 007C,0,Owned: Owns outright,276
E01026019,Boston 007C,1,Owned: Owns with a mortgage or loan,271
E01026019,Boston 007C,2,Shared ownership: Shared ownership,19
E01026019,Boston 007C,3,Social rented: Rents from council or Local Authority,146
E01026019,Boston 007C,4,Social rented: Other social rented,249
E01026019,Boston 007C,5,Private rented: Private landlord or letting agency,172
E01026019,Boston 007C,6,Private rented: Other private rented,21
E01026019,Boston 007C,7,Lives rent free,1
E01026020,Boston 007D,-8,Does not apply,0
E01026020,Boston 007D,0,Owned: Owns outright,425
E01026020,Boston 007D,1,Owned: Owns with a mortgage or loan,380
E01026020,Boston 007D,2,Shared ownership: Shared ownership,27
E01026020,Boston 007D,3,Social rented: Rents from council or Local Authority,31
E01026020,Boston 007D,4,Social rented: Other social rented,108
E01026020,Boston 007D,5,Private rented: Private landlord or letting agency,195
E01026020,Boston 007D,6,Private rented: Other private rented,17
E01026020,Boston 007D,7,Lives rent free,0
E01026021,Boston 003B,-8,Does not apply,0
E01026021,Boston 003B,0,Owned: Owns outright,324
E01026021,Boston 003B,1,Owned: Owns with a mortgage or loan,172
E01026021,Boston 003B,2,Shared ownership: Shared ownership,5
E01026021,Boston 003B,3,Social rented: Rents from council or Local Authority,6
E01026021,Boston 003B,4,Social rented: Other social rented,51
E01026021,Boston 003B,5,Private rented: Private landlord or letting agency,217
E01026021,Boston 003B,6,Private rented: Other private rented,24
E01026021,Boston 003B,7,Lives rent free,0
E01026022,Boston 008C,-8,Does not apply,0
E01026022,Boston 008C,0,Owned: Owns outright,497
E01026022,Boston 008C,1,Owned: Owns with a mortgage or loan,248
E01026022,Boston 008C,2,Shared ownership: Shared ownership,18
E01026022,Boston 008C,3,Social rented: Rents from council or Local Authority,2
E01026022,Boston 008C,4,Social rented: Other social rented,17
E01026022,Boston 008C,5,Private rented: Private landlord or letting agency,122
E01026022,Boston 008C,6,Private rented: Other private rented,11
E01026022,Boston 008C,7,Lives rent free,0
E01026023,Boston 001D,-8,Does not apply,0
E01026023,Boston 001D,0,Owned: Owns outright,301
E01026023,Boston 001D,1,Owned: Owns with a mortgage or loan,131
E01026023,Boston 001D,2,Shared ownership: Shared ownership,1
E01026023,Boston 001D,3,Social rented: Rents from council or Local Authority,24
E01026023,Boston 001D,4,Social rented: Other social rented,72
E01026023,Boston 001D,5,Private rented: Private landlord or letting agency,57
E01026023,Boston 001D,6,Private rented: Other private rented,13
E01026023,Boston 001D,7,Lives rent free,1
E01026024,Boston 001E,-8,Does not apply,0
E01026024,Boston 001E,0,Owned: Owns outright,391
E01026024,Boston 001E,1,Owned: Owns with a mortgage or loan,245
E01026024,Boston 001E,2,Shared ownership: Shared ownership,26
E01026024,Boston 001E,3,Social rented: Rents from council or Local Authority,44
E01026024,Boston 001E,4,Social rented: Other social rented,116
E01026024,Boston 001E,5,Private rented: Private landlord or letting agency,83
E01026024,Boston 001E,6,Private rented: Other private rented,18
E01026024,Boston 001E,7,Lives rent free,1
E01026025,Boston 003C,-8,Does not apply,0
E01026025,Boston 003C,0,Owned: Owns outright,174
E01026025,Boston 003C,1,Owned: Owns with a mortgage or loan,158
E01026025,Boston 003C,2,Shared ownership: Shared ownership,18
E01026025,Boston 003C,3,Social rented: Rents from council or Local Authority,66
E01026025,Boston 003C,4,Social rented: Other social rented,179
E01026025,Boston 003C,5,Private rented: Private landlord or letting agency,463
E01026025,Boston 003C,6,Private rented: Other private rented,29
E01026025,Boston 003C,7,Lives rent free,1
E01026026,Boston 004C,-8,Does not apply,0
E01026026,Boston 004C,0,Owned: Owns outright,146
E01026026,Boston 004C,1,Owned: Owns with a mortgage or loan,240
E01026026,Boston 004C,2,Shared ownership: Shared ownership,16
E01026026,Boston 004C,3,Social rented: Rents from council or Local Authority,137
E01026026,Boston 004C,4,Social rented: Other social rented,262
E01026026,Boston 004C,5,Private rented: Private landlord or letting agency,85
E01026026,Boston 004C,6,Private rented: Other private rented,5
E01026026,Boston 004C,7,Lives rent free,4
E01026027,Boston 004D,-8,Does not apply,0
E01026027,Boston 004D,0,Owned: Owns outright,235
E01026027,Boston 004D,1,Owned: Owns with a mortgage or loan,214
E01026027,Boston 004D,2,Shared ownership: Shared ownership,9
E01026027,Boston 004D,3,Social rented: Rents from council or Local Authority,26
E01026027,Boston 004D,4,Social rented: Other social rented,71
E01026027,Boston 004D,5,Private rented: Private landlord or letting agency,188
E01026027,Boston 004D,6,Private rented: Other private rented,8
E01026027,Boston 004D,7,Lives rent free,0
E01026028,Boston 004E,-8,Does not apply,0
E01026028,Boston 004E,0,Owned: Owns outright,252
E01026028,Boston 004E,1,Owned: Owns with a mortgage or loan,188
E01026028,Boston 004E,2,Shared ownership: Shared ownership,2
E01026028,Boston 004E,3,Social rented: Rents from council or Local Authority,64
E01026028,Boston 004E,4,Social rented: Other social rented,146
E01026028,Boston 004E,5,Private rented: Private landlord or letting agency,187
E01026028,Boston 004E,6,Private rented: Other private rented,15
E01026028,Boston 004E,7,Lives rent free,1
E01026030,Boston 002C,-8,Does not apply,0
E01026030,Boston 002C,0,Owned: Owns outright,142
E01026030,Boston 002C,1,Owned: Owns with a mortgage or loan,160
E01026030,Boston 002C,2,Shared ownership: Shared ownership,24
E01026030,Boston 002C,3,Social rented: Rents from council or Local Authority,199
E01026030,Boston 002C,4,Social rented: Other social rented,328
E01026030,Boston 002C,5,Private rented: Private landlord or letting agency,249
E01026030,Boston 002C,6,Private rented: Other private rented,17
E01026030,Boston 002C,7,Lives rent free,7
E01026031,Boston 009B,-8,Does not apply,0
E01026031,Boston 009B,0,Owned: Owns outright,361
E01026031,Boston 009B,1,Owned: Owns with a mortgage or loan,147
E01026031,Boston 009B,2,Shared ownership: Shared ownership,26
E01026031,Boston 009B,3,Social rented: Rents from council or Local Authority,22
E01026031,Boston 009B,4,Social rented: Other social rented,63
E01026031,Boston 009B,5,Private rented: Private landlord or letting agency,68
E01026031,Boston 009B,6,Private rented: Other private rented,10
E01026031,Boston 009B,7,Lives rent free,2
E01026032,Boston 002D,-8,Does not apply,0
E01026032,Boston 002D,0,Owned: Owns outright,197
E01026032,Boston 002D,1,Owned: Owns with a mortgage or loan,142
E01026032,Boston 002D,2,Shared ownership: Shared ownership,7
E01026032,Boston 002D,3,Social rented: Rents from council or Local Authority,52
E01026032,Boston 002D,4,Social rented: Other social rented,74
E01026032,Boston 002D,5,Private rented: Private landlord or letting agency,285
E01026032,Boston 002D,6,Private rented: Other private rented,14
E01026032,Boston 002D,7,Lives rent free,1
E01026033,Boston 006B,-8,Does not apply,0
E01026033,Boston 006B,0,Owned: Owns outright,430
E01026033,Boston 006B,1,Owned: Owns with a mortgage or loan,348
E01026033,Boston 006B,2,Shared ownership: Shared ownership,10
E01026033,Boston 006B,3,Social rented: Rents from council or Local Authority,31
E01026033,Boston 006B,4,Social rented: Other social rented,56
E01026033,Boston 006B,5,Private rented: Private landlord or letting agency,108
E01026033,Boston 006B,6,Private rented: Other private rented,17
E01026033,Boston 006B,7,Lives rent free,0
E01026034,Boston 006C,-8,Does not apply,0
E01026034,Boston 006C,0,Owned: Owns outright,311
E01026034,Boston 006C,1,Owned: Owns with a mortgage or loan,222
E01026034,Boston 006C,2,Shared ownership: Shared ownership,12
E01026034,Boston 006C,3,Social rented: Rents from council or Local Authority,51
E01026034,Boston 006C,4,Social rented: Other social rented,142
E01026034,Boston 006C,5,Private rented: Private landlord or letting agency,82
E01026034,Boston 006C,6,Private rented: Other private rented,22
E01026034,Boston 006C,7,Lives rent free,0
E01026035,Boston 009C,-8,Does not apply,0
E01026035,Boston 009C,0,Owned: Owns outright,532
E01026035,Boston 009C,1,Owned: Owns with a mortgage or loan,401
E01026035,Boston 009C,2,Shared ownership: Shared ownership,6
E01026035,Boston 009C,3,Social rented: Rents from council or Local Authority,15
E01026035,Boston 009C,4,Social rented: Other social rented,10
E01026035,Boston 009C,5,Private rented: Private landlord or letting agency,96
E01026035,Boston 009C,6,Private rented: Other private rented,13
E01026035,Boston 009C,7,Lives rent free,0
E01026036,Boston 003D,-8,Does not apply,0
E01026036,Boston 003D,0,Owned: Owns outright,162
E01026036,Boston 003D,1,Owned: Owns with a mortgage or loan,124
E01026036,Boston 003D,2,Shared ownership: Shared ownership,3
E01026036,Boston 003D,3,Social rented: Rents from council or Local Authority,16
E01026036,Boston 003D,4,Social rented: Other social rented,15
E01026036,Boston 003D,5,Private rented: Private landlord or letting agency,315
E01026036,Boston 003D,6,Private rented: Other private rented,15
E01026036,Boston 003D,7,Lives rent free,0
E01026037,Boston 002E,-8,Does not apply,0
E01026037,Boston 002E,0,Owned: Owns outright,150
E01026037,Boston 002E,1,Owned: Owns with a mortgage or loan,99
E01026037,Boston 002E,2,Shared ownership: Shared ownership,1
E01026037,Boston 002E,3,Social rented: Rents from council or Local Authority,83
E01026037,Boston 002E,4,Social rented: Other social rented,157
E01026037,Boston 002E,5,Private rented: Private landlord or letting agency,193
E01026037,Boston 002E,6,Private rented: Other private rented,8
E01026037,Boston 002E,7,Lives rent free,1
E01026038,Boston 008D,-8,Does not apply,0
E01026038,Boston 008D,0,Owned: Owns outright,278
E01026038,Boston 008D,1,Owned: Owns with a mortgage or loan,173
E01026038,Boston 008D,2,Shared ownership: Shared ownership,2
E01026038,Boston 008D,3,Social rented: Rents from council or Local Authority,10
E01026038,Boston 008D,4,Social rented: Other social rented,29
E01026038,Boston 008D,5,Private rented: Private landlord or letting agency,145
E01026038,Boston 008D,6,Private rented: Other private rented,18
E01026038,Boston 008D,7,Lives rent free,0
E01026039,Boston 009D,-8,Does not apply,0
E01026039,Boston 009D,0,Owned: Owns outright,275
E01026039,Boston 009D,1,Owned: Owns with a mortgage or loan,135
E01026039,Boston 009D,2,Shared ownership: Shared ownership,4
E01026039,Boston 009D,3,Social rented: Rents from council or Local Authority,19
E01026039,Boston 009D,4,Social rented: Other social rented,31
E01026039,Boston 009D,5,Private rented: Private landlord or letting agency,33
E01026039,Boston 009D,6,Private rented: Other private rented,15
E01026039,Boston 009D,7,Lives rent free,0
E01026040,Boston 008E,-8,Does not apply,0
E01026040,Boston 008E,0,Owned: Owns outright,206
E01026040,Boston 008E,1,Owned: Owns with a mortgage or loan,261
E01026040,Boston 008E,2,Shared ownership: Shared ownership,27
E01026040,Boston 008E,3,Social rented: Rents from council or Local Authority,37
E01026040,Boston 008E,4,Social rented: Other social rented,61
E01026040,Boston 008E,5,Private rented: Private landlord or letting agency,69
E01026040,Boston 008E,6,Private rented: Other private rented,16
E01026040,Boston 008E,7,Lives rent free,0
E01026041,Boston 007E,-8,Does not apply,0
E01026041,Boston 007E,0,Owned: Owns outright,123
E01026041,Boston 007E,1,Owned: Owns with a mortgage or loan,136
E01026041,Boston 007E,2,Shared ownership: Shared ownership,4
E01026041,Boston 007E,3,Social rented: Rents from council or Local Authority,99
E01026041,Boston 007E,4,Social rented: Other social rented,188
E01026041,Boston 007E,5,Private rented: Private landlord or letting agency,57
E01026041,Boston 007E,6,Private rented: Other private rented,5
E01026041,Boston 007E,7,Lives rent free,1
E01026042,East Lindsey 008A,-8,Does not apply,0
E01026042,East Lindsey 008A,0,Owned: Owns outright,219
E01026042,East Lindsey 008A,1,Owned: Owns with a mortgage or loan,149
E01026042,East Lindsey 008A,2,Shared ownership: Shared ownership,9
E01026042,East Lindsey 008A,3,Social rented: Rents from council or Local Authority,39
E01026042,East Lindsey 008A,4,Social rented: Other social rented,120
E01026042,East Lindsey 008A,5,Private rented: Private landlord or letting agency,221
E01026042,East Lindsey 008A,6,Private rented: Other private rented,14
E01026042,East Lindsey 008A,7,Lives rent free,0
E01026043,East Lindsey 008B,-8,Does not apply,0
E01026043,East Lindsey 008B,0,Owned: Owns outright,339
E01026043,East Lindsey 008B,1,Owned: Owns with a mortgage or loan,187
E01026043,East Lindsey 008B,2,Shared ownership: Shared ownership,10
E01026043,East Lindsey 008B,3,Social rented: Rents from council or Local Authority,33
E01026043,East Lindsey 008B,4,Social rented: Other social rented,99
E01026043,East Lindsey 008B,5,Private rented: Private landlord or letting agency,124
E01026043,East Lindsey 008B,6,Private rented: Other private rented,21
E01026043,East Lindsey 008B,7,Lives rent free,0
E01026044,East Lindsey 008C,-8,Does not apply,0
E01026044,East Lindsey 008C,0,Owned: Owns outright,381
E01026044,East Lindsey 008C,1,Owned: Owns with a mortgage or loan,117
E01026044,East Lindsey 008C,2,Shared ownership: Shared ownership,6
E01026044,East Lindsey 008C,3,Social rented: Rents from council or Local Authority,6
E01026044,East Lindsey 008C,4,Social rented: Other social rented,19
E01026044,East Lindsey 008C,5,Private rented: Private landlord or letting agency,65
E01026044,East Lindsey 008C,6,Private rented: Other private rented,20
E01026044,East Lindsey 008C,7,Lives rent free,0
E01026045,East Lindsey 001A,-8,Does not apply,0
E01026045,East Lindsey 001A,0,Owned: Owns outright,447
E01026045,East Lindsey 001A,1,Owned: Owns with a mortgage or loan,187
E01026045,East Lindsey 001A,2,Shared ownership: Shared ownership,6
E01026045,East Lindsey 001A,3,Social rented: Rents from council or Local Authority,14
E01026045,East Lindsey 001A,4,Social rented: Other social rented,75
E01026045,East Lindsey 001A,5,Private rented: Private landlord or letting agency,128
E01026045,East Lindsey 001A,6,Private rented: Other private rented,24
E01026045,East Lindsey 001A,7,Lives rent free,0
E01026046,East Lindsey 013A,-8,Does not apply,0
E01026046,East Lindsey 013A,0,Owned: Owns outright,246
E01026046,East Lindsey 013A,1,Owned: Owns with a mortgage or loan,136
E01026046,East Lindsey 013A,2,Shared ownership: Shared ownership,5
