Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%,History_Mode
national,Validation (2019),AR Baseline (Persistence),0.37705559025890595,0.295042776900397,0.8352580488279369,0.0,44.93362562416271,85.85129704055535,without_history
national,Test (2020-2022 Aggregate),AR Baseline (Persistence),0.3288775104436354,0.2501379085386651,0.869566306456008,0.0,44.16940689319206,84.73287865870986,without_history
national,Test (2020),AR Baseline (Persistence),0.32572540842916614,0.24454705206803878,0.8652332147943664,0.0,44.242479600535866,84.93788819875776,without_history
national,Test (2021),AR Baseline (Persistence),0.3583619108329936,0.2784272608686017,0.8485544371590035,0.0,46.09669954938497,86.81646571672147,without_history
national,Test (2022),AR Baseline (Persistence),0.299934909262975,0.22743941267935464,0.8913399648012231,0.0,46.23066617951528,87.02959444647425,without_history
national,Validation (2019),AR Baseline (Momentum Drift),0.5025787142073359,0.38061376870087604,0.707314222617256,61.027889416636214,33.61953477042991,71.36158811350627,without_history
national,Test (2020-2022 Aggregate),AR Baseline (Momentum Drift),0.5498973558839373,0.41751930417847266,0.6353428755701971,42.23399504729428,32.281898266553,68.85580319084156,without_history
national,Test (2020),AR Baseline (Momentum Drift),0.5736022301860482,0.43060681977419485,0.5820722042221825,42.63183534283279,33.61953477042991,71.33418584825235,without_history
national,Test (2021),AR Baseline (Momentum Drift),0.5469909289979815,0.4197732903097939,0.6471638172655088,41.85239313116551,32.98928266958958,70.14066496163683,without_history
national,Test (2022),AR Baseline (Momentum Drift),0.5281502732593764,0.4021778024514293,0.6630768696801002,42.217756667884544,35.25453659724759,73.18536110096213,without_history
national,Validation (2019),Multimodal Ridge,0.7998240915634911,0.6481101946644374,0.2587197999135411,38.28400925587626,29.41480940202168,65.2143466082085,without_history
national,Test (2020-2022 Aggregate),Multimodal Ridge,0.8804014803721235,0.7407302257060198,0.06527691567370153,46.258068444769215,29.214874355539315,64.27353550115699,without_history
national,Test (2020),Multimodal Ridge,0.7696067240749244,0.632709090892954,0.2476545462856673,54.685787358421635,29.37522835221045,65.05297771282426,without_history
national,Test (2021),Multimodal Ridge,0.9327224224994699,0.7960379587165303,-0.025929932176040005,32.35903056874923,29.402630617464375,64.97077091706248,without_history
national,Test (2022),Multimodal Ridge,0.9290073588242793,0.7934436275085756,-0.042447321127416116,51.72938740713677,29.420898794300328,64.68761417610523,without_history
national,Validation (2019),Multimodal ElasticNet,0.8126246804209485,0.6519438319631577,0.23480265627350339,38.85336743393009,29.08598221897455,64.80331262939958,without_history
national,Test (2020-2022 Aggregate),Multimodal ElasticNet,0.8908331136945307,0.7437117832482544,0.042995137880189827,46.479316364226854,28.85763000852515,63.82799496610239,without_history
national,Test (2020),Multimodal ElasticNet,0.7798959709432558,0.6353966897335129,0.22740312458334067,54.9354524418463,29.128607964925102,64.30093776641091,without_history
national,Test (2021),Multimodal ElasticNet,0.9433792172682068,0.7992159647568848,-0.04950732782835687,32.620874436731214,29.20168067226891,64.4805748386311,without_history
national,Test (2022),Multimodal ElasticNet,0.9394407039813527,0.7965226952543654,-0.06599349868622073,51.88162221410303,29.14687614176105,64.2156862745098,without_history
national,Validation (2019),Multimodal Random Forest,0.6404112394702658,0.4985879978559352,0.5247618156728651,47.1714772865668,32.79137742053343,70.31725733771769,without_history
national,Test (2020-2022 Aggregate),Multimodal Random Forest,0.7203223465855354,0.5831867596966296,0.3742869449519457,49.21852799090651,32.21390005277473,68.76649210408802,without_history
national,Test (2020),Multimodal Random Forest,0.6129504716697536,0.48319635355989826,0.5227671162339604,57.56606990622336,33.06235537693338,69.70831810985264,without_history
national,Test (2021),Multimodal Random Forest,0.7695757731311454,0.6346465046409734,0.3015816507001682,36.92303008159786,32.7152600170503,69.58957496041896,without_history
national,Test (2022),Multimodal Random Forest,0.767227279012486,0.631717420889017,0.2890093635826877,53.166483984898306,32.450371452929,68.9593228595786,without_history
national,Validation (2019),Multimodal Extra-Trees,0.762038584111361,0.612746502265631,0.32710490882168153,38.79247351114359,32.17330410425039,69.4890999878212,without_history
national,Test (2020-2022 Aggregate),Multimodal Extra-Trees,0.8461622690391715,0.7076419423568429,0.13656678373535036,46.13729549790931,32.17533390167661,68.29151950635327,without_history
national,Test (2020),Multimodal Extra-Trees,0.7309782899045527,0.595374968299855,0.3212832751772894,55.23078796736086,32.541712337108756,69.03544026306174,without_history
