Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%,History_Mode
national,Validation (2017),AR Baseline (Persistence),0.3346089634937338,0.26041082431902657,0.8459091049769552,0.0,45.079771038850325,85.96090610157107,without_history
national,Test (2018-2019 Aggregate),AR Baseline (Persistence),0.3786910729554603,0.29624722515098273,0.8298885197950644,0.0,44.6443794909268,85.2910729509195,without_history
national,Test (2018),AR Baseline (Persistence),0.38031952267379543,0.2974516734015685,0.819106753568863,0.0,43.69747899159664,84.5085860431129,without_history
national,Test (2019),AR Baseline (Persistence),0.37705559025890595,0.295042776900397,0.8352580488279369,0.0,44.93362562416271,85.85129704055535,without_history
national,Validation (2017),AR Baseline (Momentum Drift),0.4671098249574813,0.35228612268779697,0.6997107116762961,58.06235537693338,33.99403239556692,71.73913043478261,without_history
national,Test (2018-2019 Aggregate),AR Baseline (Momentum Drift),0.4909287603168594,0.3721903133316607,0.7141090292332919,60.24388016075996,34.03209109730849,71.59907441237364,without_history
national,Test (2018),AR Baseline (Momentum Drift),0.47899554427802127,0.36376685796244546,0.7130620036237896,59.459870904883694,33.71696504688832,71.31287297527706,without_history
national,Test (2019),AR Baseline (Momentum Drift),0.5025787142073359,0.38061376870087604,0.707314222617256,61.027889416636214,33.61953477042991,71.36158811350627,without_history
national,Validation (2017),Multimodal Ridge,0.5909956821012874,0.4575471587591825,0.5193040620686828,50.86164900742906,29.18645719157228,65.15649738156132,without_history
national,Test (2018-2019 Aggregate),Multimodal Ridge,0.8595366566799115,0.7095782402022353,0.12362033022459407,34.797832176348805,28.59730848861284,63.99799050054804,without_history
national,Test (2018),Multimodal Ridge,0.7608888232386257,0.615324272204906,0.27595172389988054,38.920350748995254,29.213859456826206,64.6967482645232,without_history
national,Test (2019),Multimodal Ridge,0.9479740117869793,0.8038322081995645,-0.04132501281552359,30.675313603702353,29.152965534039705,64.60540738034344,without_history
national,Validation (2017),Multimodal ElasticNet,0.605641255593237,0.4635527733526346,0.4951844330665318,51.141761052246984,29.064669345999267,64.29484837413226,without_history
national,Test (2018-2019 Aggregate),Multimodal ElasticNet,0.8740808181864675,0.7158147096517948,0.09371108501765824,35.00791620996225,28.557727438801606,63.43472171477287,without_history
national,Test (2018),Multimodal ElasticNet,0.7758665875847014,0.6214444636076625,0.2471660196828811,39.23395445134575,28.85763000852515,64.2278650590671,without_history
national,Test (2019),Multimodal ElasticNet,0.9623230183845337,0.8101849556959272,-0.07308762215306963,30.781877968578737,28.909389842893678,64.3709657776154,without_history
national,Validation (2017),Multimodal Random Forest,0.48500098909179523,0.36727890970981664,0.6762669156411991,56.92059432468639,33.12020460358056,70.6186822555109,without_history
national,Test (2018-2019 Aggregate),Multimodal Random Forest,0.7457696688967379,0.602034044493195,0.3402598404086036,38.89294848374132,31.95104128607965,68.44324686396298,without_history
national,Test (2018),Multimodal Random Forest,0.6487296585962934,0.5111368823575948,0.47367666989971036,44.14809402021678,32.59347217147729,69.38253562294483,without_history
national,Test (2019),Multimodal Random Forest,0.831561560048465,0.6929312066287953,0.19872379138825658,33.63780294726586,32.53257824869078,69.66569236390208,without_history
national,Validation (2017),Multimodal Extra-Trees,0.5621034128951488,0.429790735298702,0.5651552002178258,51.351845085860425,32.60565095603459,69.24552429667519,without_history
national,Test (2018-2019 Aggregate),Multimodal Extra-Trees,0.8416144651808227,0.6950327508042943,0.15978608207237122,33.78851540616247,31.596334185848253,67.8799780781878,without_history
national,Test (2018),Multimodal Extra-Trees,0.7404973185636581,0.5973298952517021,0.31424008617542876,38.18962367555718,32.07282913165266,68.75837291438314,without_history
national,Test (2019),Multimodal Extra-Trees,0.9318226962267214,0.7927356063568864,-0.00614368518439079,29.387407136767752,32.289002557544755,69.27597125806845,without_history
national,Validation (2017),Multimodal LightGBM,0.4842492962083733,0.36441548513288685,0.6772696322592481,59.624284496407256,31.76531482158081,68.54524418463038,without_history
