Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%,History_Mode
lincolnshire,Validation (2019),AR Baseline (Persistence),0.4335721060784814,0.34208118366360163,0.6149776398761859,0.0,36.666666666666664,76.19047619047619,with_history
lincolnshire,Test (2020-2022 Aggregate),AR Baseline (Persistence),0.31384245904437863,0.24450874776917458,0.7831778700807436,0.0,38.17460317460317,75.71428571428571,with_history
lincolnshire,Test (2020),AR Baseline (Persistence),0.2990557787909372,0.22813224792808695,0.7790706560277458,0.0,36.666666666666664,76.66666666666667,with_history
lincolnshire,Test (2021),AR Baseline (Persistence),0.35939316657842196,0.28029570847831115,0.7195262450477425,0.0,39.76190476190476,76.66666666666667,with_history
lincolnshire,Test (2022),AR Baseline (Persistence),0.27729670081980445,0.2250982869011255,0.8295607099224032,0.0,35.23809523809524,77.14285714285715,with_history
lincolnshire,Validation (2019),AR Baseline (Momentum Drift),0.5062739574802877,0.37763568816690884,0.4750300314622967,61.42857142857143,24.523809523809522,63.57142857142857,with_history
lincolnshire,Test (2020-2022 Aggregate),AR Baseline (Momentum Drift),0.5380740741072421,0.3998860630893523,0.3626700253702513,47.53968253968254,27.53968253968254,59.20634920634921,with_history
lincolnshire,Test (2020),AR Baseline (Momentum Drift),0.5996604062103049,0.44010524157267333,0.11169981124136918,48.57142857142857,28.57142857142857,62.142857142857146,with_history
lincolnshire,Test (2021),AR Baseline (Momentum Drift),0.5349702722953756,0.39789909988310457,0.37854183673251773,43.57142857142857,28.809523809523807,58.0952380952381,with_history
lincolnshire,Test (2022),AR Baseline (Momentum Drift),0.47200141171716986,0.36165384781227894,0.5061820108267414,50.476190476190474,28.095238095238095,63.57142857142857,with_history
lincolnshire,Validation (2019),Multimodal Ridge,0.3141403814662127,0.23273857237814968,0.7978792889860168,84.52380952380952,36.666666666666664,77.38095238095238,with_history
lincolnshire,Test (2020-2022 Aggregate),Multimodal Ridge,0.2603411787667236,0.2003719422269955,0.8508009890314301,70.3968253968254,40.79365079365079,79.6031746031746,with_history
lincolnshire,Test (2020),Multimodal Ridge,0.2668625541639403,0.20757794920807254,0.8240763277647466,65.95238095238095,41.66666666666667,81.9047619047619,with_history
lincolnshire,Test (2021),Multimodal Ridge,0.2676865076136479,0.1979428131708633,0.8444014442218174,77.38095238095238,42.38095238095238,78.80952380952381,with_history
lincolnshire,Test (2022),Multimodal Ridge,0.24588798041313012,0.1955950643020507,0.8659845369204774,67.85714285714286,37.857142857142854,80.71428571428572,with_history
lincolnshire,Validation (2019),Multimodal ElasticNet,0.32809243556137907,0.24117544428115623,0.7795268440908121,82.85714285714286,40.0,77.14285714285715,with_history
lincolnshire,Test (2020-2022 Aggregate),Multimodal ElasticNet,0.24875600178176563,0.19256907668860487,0.863784243675375,72.53968253968253,40.63492063492063,81.03174603174604,with_history
