LSOA Code,LSOA Name,Local Authority Code,Local Authority Name,Region,Number of households,Number of households in fuel poverty,Proportion of households fuel poor (%)
E01026395,West Lindsey 010C,E07000142,West Lindsey,East Midlands,796,72,9.0452261306532673
E01026396,West Lindsey 009A,E07000142,West Lindsey,East Midlands,683,47,6.8814055636896052
E01026398,West Lindsey 009C,E07000142,West Lindsey,East Midlands,838,98,11.694510739856803
E01026399,West Lindsey 005C,E07000142,West Lindsey,East Midlands,697,90,12.91248206599713
E01026400,West Lindsey 009D,E07000142,West Lindsey,East Midlands,648,75,11.574074074074074
E01026401,West Lindsey 002B,E07000142,West Lindsey,East Midlands,700,66,9.4285714285714288
E01026402,West Lindsey 002C,E07000142,West Lindsey,East Midlands,904,87,9.6238938053097343
E01026403,West Lindsey 002D,E07000142,West Lindsey,East Midlands,601,75,12.479201331114808
E01026404,West Lindsey 007B,E07000142,West Lindsey,East Midlands,1117,124,11.101163831692032
E01026405,West Lindsey 010D,E07000142,West Lindsey,East Midlands,639,58,9.0766823161189372
E01026406,West Lindsey 010E,E07000142,West Lindsey,East Midlands,546,43,7.875457875457875
E01026407,West Lindsey 002E,E07000142,West Lindsey,East Midlands,633,81,12.796208530805686
E01026408,West Lindsey 002F,E07000142,West Lindsey,East Midlands,632,57,9.0189873417721511
E01026409,West Lindsey 007C,E07000142,West Lindsey,East Midlands,590,65,11.016949152542372
E01026410,West Lindsey 007D,E07000142,West Lindsey,East Midlands,830,86,10.361445783132531
E01026411,West Lindsey 005D,E07000142,West Lindsey,East Midlands,1161,154,13.264427217915589
E01026412,West Lindsey 008B,E07000142,West Lindsey,East Midlands,901,76,8.4350721420643726
E01026413,West Lindsey 008C,E07000142,West Lindsey,East Midlands,944,70,7.4152542372881349
E01026414,West Lindsey 008D,E07000142,West Lindsey,East Midlands,854,99,11.592505854800937
E01026415,West Lindsey 003E,E07000142,West Lindsey,East Midlands,531,99,18.64406779661017
E01026416,West Lindsey 001D,E07000142,West Lindsey,East Midlands,612,104,16.993464052287582
E01032683,West Lindsey 001G,E07000142,West Lindsey,East Midlands,1101,146,13.260672116257947
E01032986,East Lindsey 004D,E07000137,East Lindsey,East Midlands,628,95,15.127388535031846
E01032987,East Lindsey 004E,E07000137,East Lindsey,East Midlands,739,72,9.7428958051420835
E01032988,North Kesteven 013B,E07000139,North Kesteven,East Midlands,853,61,7.1512309495896833
E01032989,North Kesteven 013C,E07000139,North Kesteven,East Midlands,858,34,3.9627039627039626
E01032991,North Kesteven 014E,E07000139,North Kesteven,East Midlands,999,70,7.0070070070070072
E01032992,North Kesteven 014F,E07000139,North Kesteven,East Midlands,720,56,7.7777777777777777
E01032993,North Kesteven 013D,E07000139,North Kesteven,East Midlands,1124,57,5.0711743772241995
E01032994,North Kesteven 003H,E07000139,North Kesteven,East Midlands,703,48,6.8278805120910393
E01032995,South Holland 006F,E07000140,South Holland,East Midlands,762,114,14.960629921259844
E01032996,South Holland 006G,E07000140,South Holland,East Midlands,602,49,8.1395348837209305
E01032997,South Kesteven 011E,E07000141,South Kesteven,East Midlands,526,27,5.1330798479087454
E01032998,South Kesteven 011F,E07000141,South Kesteven,East Midlands,782,34,4.3478260869565215
E01032999,South Kesteven 011G,E07000141,South Kesteven,East Midlands,603,39,6.467661691542288
E01034679,Boston 002F,E07000136,Boston,East Midlands,583,82,14.065180102915953
E01034680,Boston 002G,E07000136,Boston,East Midlands,603,107,17.744610281923716
E01034681,Boston 003E,E07000136,Boston,East Midlands,632,139,21.99367088607595
E01034682,Boston 003F,E07000136,Boston,East Midlands,698,119,17.048710601719197
E01034683,Boston 009E,E07000136,Boston,East Midlands,601,51,8.4858569051580695
E01034684,Boston 009F,E07000136,Boston,East Midlands,596,35,5.8724832214765099
E01034685,East Lindsey 012E,E07000137,East Lindsey,East Midlands,683,32,4.6852122986822842
E01034686,East Lindsey 012F,E07000137,East Lindsey,East Midlands,798,51,6.3909774436090219
E01034687,Lincoln 005E,E07000138,Lincoln,East Midlands,487,109,22.381930184804926
E01034688,Lincoln 005F,E07000138,Lincoln,East Midlands,467,102,21.841541755888652
E01034689,Lincoln 007E,E07000138,Lincoln,East Midlands,551,28,5.0816696914700543
E01034690,Lincoln 007F,E07000138,Lincoln,East Midlands,744,32,4.3010752688172049
E01034691,Lincoln 008E,E07000138,Lincoln,East Midlands,506,62,12.252964426877471
E01034692,Lincoln 008F,E07000138,Lincoln,East Midlands,670,125,18.656716417910449
E01034693,North Kesteven 003I,E07000139,North Kesteven,East Midlands,716,33,4.6089385474860336
E01034694,North Kesteven 003J,E07000139,North Kesteven,East Midlands,760,32,4.2105263157894735
E01034695,North Kesteven 011F,E07000139,North Kesteven,East Midlands,797,32,4.0150564617314926
E01034696,North Kesteven 011G,E07000139,North Kesteven,East Midlands,657,21,3.1963470319634704
E01034697,South Holland 006H,E07000140,South Holland,East Midlands,677,32,4.7267355982274744
E01034698,South Holland 006I,E07000140,South Holland,East Midlands,673,29,4.3090638930163445
E01034699,South Holland 009F,E07000140,South Holland,East Midlands,582,60,10.309278350515463
E01034700,South Holland 009G,E07000140,South Holland,East Midlands,703,56,7.9658605974395442
E01034701,South Kesteven 004F,E07000141,South Kesteven,East Midlands,645,19,2.945736434108527
E01034702,South Kesteven 004G,E07000141,South Kesteven,East Midlands,692,26,3.7572254335260116
E01034703,South Kesteven 010E,E07000141,South Kesteven,East Midlands,619,45,7.2697899838449116
E01034704,South Kesteven 010F,E07000141,South Kesteven,East Midlands,584,31,5.3082191780821919
E01034705,South Kesteven 010G,E07000141,South Kesteven,East Midlands,583,18,3.0874785591766725
E01034706,West Lindsey 009E,E07000142,West Lindsey,East Midlands,678,42,6.1946902654867255
E01034707,West Lindsey 009F,E07000142,West Lindsey,East Midlands,655,74,11.297709923664122
