Local authority code,Local authority,MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,"Number of 
domestic 
properties","Number of 
domestic 
gas meters","Estimated number 
of properties not 
on the gas grid","Estimated percentage
of properties not 
on the gas grid"
E07000136,Boston,E02005417,Boston 001,E01026007,Boston 001A,490,401,89,18.16
E07000136,Boston,E02005417,Boston 001,E01026008,Boston 001B,590,335,255,43.22
E07000136,Boston,E02005417,Boston 001,E01026009,Boston 001C,540,,,
E07000136,Boston,E02005417,Boston 001,E01026023,Boston 001D,640,,,
E07000136,Boston,E02005417,Boston 001,E01026024,Boston 001E,960,,,
E07000136,Boston,E02005418,Boston 002,E01026010,Boston 002A,670,676,0,0
E07000136,Boston,E02005418,Boston 002,E01026030,Boston 002C,1190,1075,115,9.66
E07000136,Boston,E02005418,Boston 002,E01026032,Boston 002D,800,740,60,7.5
E07000136,Boston,E02005418,Boston 002,E01026037,Boston 002E,780,676,104,13.33
E07000136,Boston,E02005418,Boston 002,E01034679,Boston 002F,590,550,40,6.78
E07000136,Boston,E02005418,Boston 002,E01034680,Boston 002G,600,543,57,9.5
E07000136,Boston,E02005419,Boston 003,E01026021,Boston 003B,950,776,174,18.32
E07000136,Boston,E02005419,Boston 003,E01026025,Boston 003C,1170,967,203,17.35
E07000136,Boston,E02005419,Boston 003,E01026036,Boston 003D,740,675,65,8.78
E07000136,Boston,E02005419,Boston 003,E01034681,Boston 003E,660,598,62,9.39
E07000136,Boston,E02005419,Boston 003,E01034682,Boston 003F,750,560,190,25.33
E07000136,Boston,E02005420,Boston 004,E01026012,Boston 004A,570,533,37,6.49
E07000136,Boston,E02005420,Boston 004,E01026015,Boston 004B,700,684,16,2.29
E07000136,Boston,E02005420,Boston 004,E01026026,Boston 004C,900,913,0,0
E07000136,Boston,E02005420,Boston 004,E01026027,Boston 004D,790,752,38,4.81
E07000136,Boston,E02005420,Boston 004,E01026028,Boston 004E,870,774,96,11.03
E07000136,Boston,E02005422,Boston 006,E01026016,Boston 006A,1080,250,830,76.85
E07000136,Boston,E02005422,Boston 006,E01026033,Boston 006B,940,418,522,55.53
E07000136,Boston,E02005422,Boston 006,E01026034,Boston 006C,860,609,251,29.19
E07000136,Boston,E02005423,Boston 007,E01026017,Boston 007A,720,,,
E07000136,Boston,E02005423,Boston 007,E01026018,Boston 007B,770,359,411,53.38
E07000136,Boston,E02005423,Boston 007,E01026019,Boston 007C,1190,992,198,16.64
E07000136,Boston,E02005423,Boston 007,E01026020,Boston 007D,1070,1110,0,0
E07000136,Boston,E02005423,Boston 007,E01026041,Boston 007E,640,580,60,9.38
E07000136,Boston,E02006864,Boston 008,E01026013,Boston 008A,620,563,57,9.19
E07000136,Boston,E02006864,Boston 008,E01026014,Boston 008B,790,697,93,11.77
E07000136,Boston,E02006864,Boston 008,E01026022,Boston 008C,840,846,0,0
E07000136,Boston,E02006864,Boston 008,E01026038,Boston 008D,620,605,15,2.42
E07000136,Boston,E02006864,Boston 008,E01026040,Boston 008E,630,641,0,0
E07000136,Boston,E02006865,Boston 009,E01026031,Boston 009B,710,737,0,0
E07000136,Boston,E02006865,Boston 009,E01026035,Boston 009C,1040,1086,0,0
E07000136,Boston,E02006865,Boston 009,E01026039,Boston 009D,510,494,16,3.14
E07000136,Boston,E02006865,Boston 009,E01034683,Boston 009E,570,497,73,12.81
E07000136,Boston,E02006865,Boston 009,E01034684,Boston 009F,560,562,0,0
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026045,East Lindsey 001A,920,376,544,59.13
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026061,East Lindsey 001B,510,502,8,1.57
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026062,East Lindsey 001C,530,487,43,8.11
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026063,East Lindsey 001D,680,697,0,0
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026080,East Lindsey 001E,940,16,924,98.3
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026106,East Lindsey 001F,540,511,29,5.37
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026107,East Lindsey 001G,520,157,363,69.81
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026058,East Lindsey 002A,1020,662,358,35.1
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026076,East Lindsey 002B,1010,,,
