Local authority code,Local authority,MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,"Number of 
domestic 
properties","Number of 
domestic 
gas meters","Estimated number 
of properties not 
on the gas grid","Estimated percentage
of properties not 
on the gas grid"
E07000136,Boston,E02005417,Boston 001,E01026007,Boston 001A,510,458,52,10.2
E07000136,Boston,E02005417,Boston 001,E01026008,Boston 001B,600,345,255,42.5
E07000136,Boston,E02005417,Boston 001,E01026009,Boston 001C,540,,,
E07000136,Boston,E02005417,Boston 001,E01026023,Boston 001D,650,,,
E07000136,Boston,E02005417,Boston 001,E01026024,Boston 001E,970,,,
E07000136,Boston,E02005418,Boston 002,E01026010,Boston 002A,800,735,65,8.13
E07000136,Boston,E02005418,Boston 002,E01026030,Boston 002C,1200,1092,108,9
E07000136,Boston,E02005418,Boston 002,E01026032,Boston 002D,800,738,62,7.75
E07000136,Boston,E02005418,Boston 002,E01026037,Boston 002E,780,678,102,13.08
E07000136,Boston,E02005418,Boston 002,E01034679,Boston 002F,590,554,36,6.1
E07000136,Boston,E02005418,Boston 002,E01034680,Boston 002G,600,545,55,9.17
E07000136,Boston,E02005419,Boston 003,E01026021,Boston 003B,950,781,169,17.79
E07000136,Boston,E02005419,Boston 003,E01026025,Boston 003C,1200,974,226,18.83
E07000136,Boston,E02005419,Boston 003,E01026036,Boston 003D,770,725,45,5.84
E07000136,Boston,E02005419,Boston 003,E01034681,Boston 003E,680,607,73,10.74
E07000136,Boston,E02005419,Boston 003,E01034682,Boston 003F,760,556,204,26.84
E07000136,Boston,E02005420,Boston 004,E01026012,Boston 004A,570,614,0,0
E07000136,Boston,E02005420,Boston 004,E01026015,Boston 004B,770,731,39,5.06
E07000136,Boston,E02005420,Boston 004,E01026026,Boston 004C,950,928,22,2.32
E07000136,Boston,E02005420,Boston 004,E01026027,Boston 004D,790,754,36,4.56
E07000136,Boston,E02005420,Boston 004,E01026028,Boston 004E,870,775,95,10.92
E07000136,Boston,E02005422,Boston 006,E01026016,Boston 006A,1110,254,856,77.12
E07000136,Boston,E02005422,Boston 006,E01026033,Boston 006B,1080,490,590,54.63
E07000136,Boston,E02005422,Boston 006,E01026034,Boston 006C,870,636,234,26.9
E07000136,Boston,E02005423,Boston 007,E01026017,Boston 007A,720,,,
E07000136,Boston,E02005423,Boston 007,E01026018,Boston 007B,790,410,380,48.1
