Local authority code,Local authority,MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,"Number of 
domestic 
properties","Number of 
domestic 
gas meters","Estimated number 
of properties not 
on the gas grid","Estimated percentage
of properties not 
on the gas grid"
E07000136,Boston,E02005417,Boston 001,E01026007,Boston 001A,500,469,31,6.2
E07000136,Boston,E02005417,Boston 001,E01026008,Boston 001B,610,345,265,43.44
E07000136,Boston,E02005417,Boston 001,E01026009,Boston 001C,540,,,
E07000136,Boston,E02005417,Boston 001,E01026023,Boston 001D,650,,,
E07000136,Boston,E02005417,Boston 001,E01026024,Boston 001E,970,,,
E07000136,Boston,E02005418,Boston 002,E01026010,Boston 002A,810,735,75,9.26
E07000136,Boston,E02005418,Boston 002,E01026030,Boston 002C,1200,1087,113,9.42
E07000136,Boston,E02005418,Boston 002,E01026032,Boston 002D,800,737,63,7.88
E07000136,Boston,E02005418,Boston 002,E01026037,Boston 002E,780,678,102,13.08
E07000136,Boston,E02005418,Boston 002,E01034679,Boston 002F,590,552,38,6.44
E07000136,Boston,E02005418,Boston 002,E01034680,Boston 002G,600,545,55,9.17
E07000136,Boston,E02005419,Boston 003,E01026021,Boston 003B,950,780,170,17.89
E07000136,Boston,E02005419,Boston 003,E01026025,Boston 003C,1200,974,226,18.83
E07000136,Boston,E02005419,Boston 003,E01026036,Boston 003D,780,724,56,7.18
E07000136,Boston,E02005419,Boston 003,E01034681,Boston 003E,690,605,85,12.32
E07000136,Boston,E02005419,Boston 003,E01034682,Boston 003F,760,564,196,25.79
E07000136,Boston,E02005420,Boston 004,E01026012,Boston 004A,570,622,0,0
E07000136,Boston,E02005420,Boston 004,E01026015,Boston 004B,800,729,71,8.87
E07000136,Boston,E02005420,Boston 004,E01026026,Boston 004C,950,927,23,2.42
E07000136,Boston,E02005420,Boston 004,E01026027,Boston 004D,790,757,33,4.18
E07000136,Boston,E02005420,Boston 004,E01026028,Boston 004E,870,776,94,10.8
E07000136,Boston,E02005422,Boston 006,E01026016,Boston 006A,1130,255,875,77.43
E07000136,Boston,E02005422,Boston 006,E01026033,Boston 006B,1110,490,620,55.86
E07000136,Boston,E02005422,Boston 006,E01026034,Boston 006C,870,636,234,26.9
E07000136,Boston,E02005423,Boston 007,E01026017,Boston 007A,720,,,
E07000136,Boston,E02005423,Boston 007,E01026018,Boston 007B,800,486,314,39.25
E07000136,Boston,E02005423,Boston 007,E01026019,Boston 007C,1200,994,206,17.17
E07000136,Boston,E02005423,Boston 007,E01026020,Boston 007D,1320,1363,0,0
E07000136,Boston,E02005423,Boston 007,E01026041,Boston 007E,640,584,56,8.75
E07000136,Boston,E02006864,Boston 008,E01026013,Boston 008A,700,720,0,0
E07000136,Boston,E02006864,Boston 008,E01026014,Boston 008B,810,701,109,13.46
E07000136,Boston,E02006864,Boston 008,E01026022,Boston 008C,910,872,38,4.18
E07000136,Boston,E02006864,Boston 008,E01026038,Boston 008D,630,609,21,3.33
E07000136,Boston,E02006864,Boston 008,E01026040,Boston 008E,790,750,40,5.06
E07000136,Boston,E02006865,Boston 009,E01026031,Boston 009B,760,754,6,0.79
E07000136,Boston,E02006865,Boston 009,E01026035,Boston 009C,1070,1084,0,0
E07000136,Boston,E02006865,Boston 009,E01026039,Boston 009D,570,574,0,0
E07000136,Boston,E02006865,Boston 009,E01034683,Boston 009E,590,523,67,11.36
E07000136,Boston,E02006865,Boston 009,E01034684,Boston 009F,690,724,0,0
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026045,East Lindsey 001A,930,380,550,59.14
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026061,East Lindsey 001B,510,503,7,1.37
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026062,East Lindsey 001C,530,492,38,7.17
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026063,East Lindsey 001D,710,697,13,1.83
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026080,East Lindsey 001E,960,16,944,98.33
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026106,East Lindsey 001F,640,611,29,4.53
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026107,East Lindsey 001G,570,162,408,71.58
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026058,East Lindsey 002A,1100,746,354,32.18
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026076,East Lindsey 002B,1040,,,
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026079,East Lindsey 002C,920,,,
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026077,East Lindsey 003A,850,862,0,0
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026078,East Lindsey 003B,500,489,11,2.2
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026087,East Lindsey 003C,690,740,0,0
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026088,East Lindsey 003D,650,616,34,5.23
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026090,East Lindsey 003E,570,568,2,0.35
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026091,East Lindsey 003F,690,759,0,0
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026108,East Lindsey 003G,1240,1202,38,3.06
E07000137,East Lindsey,E02005427,East Lindsey 004,E01026081,East Lindsey 004A,1360,1296,64,4.71
