Local authority code,Local authority,MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,"Number of 
domestic 
properties","Number of 
domestic 
gas meters","Estimated number 
of properties not 
on the gas grid","Estimated percentage
of properties not 
on the gas grid"
E07000136,Boston,E02005417,Boston 001,E01026007,Boston 001A,490,387,103,21.02
E07000136,Boston,E02005417,Boston 001,E01026008,Boston 001B,580,324,256,44.14
E07000136,Boston,E02005417,Boston 001,E01026009,Boston 001C,540,,,
E07000136,Boston,E02005417,Boston 001,E01026023,Boston 001D,640,,,
E07000136,Boston,E02005417,Boston 001,E01026024,Boston 001E,910,,,
E07000136,Boston,E02005418,Boston 002,E01026010,Boston 002A,660,604,56,8.48
E07000136,Boston,E02005418,Boston 002,E01026030,Boston 002C,1160,1076,84,7.24
E07000136,Boston,E02005418,Boston 002,E01026032,Boston 002D,800,741,59,7.37
E07000136,Boston,E02005418,Boston 002,E01026037,Boston 002E,770,676,94,12.21
E07000136,Boston,E02005418,Boston 002,E01034679,Boston 002F,590,548,42,7.12
E07000136,Boston,E02005418,Boston 002,E01034680,Boston 002G,590,543,47,7.97
E07000136,Boston,E02005419,Boston 003,E01026021,Boston 003B,950,775,175,18.42
E07000136,Boston,E02005419,Boston 003,E01026025,Boston 003C,1140,957,183,16.05
E07000136,Boston,E02005419,Boston 003,E01026036,Boston 003D,740,669,71,9.59
E07000136,Boston,E02005419,Boston 003,E01034681,Boston 003E,650,589,61,9.38
E07000136,Boston,E02005419,Boston 003,E01034682,Boston 003F,730,558,172,23.56
E07000136,Boston,E02005420,Boston 004,E01026012,Boston 004A,570,532,38,6.67
E07000136,Boston,E02005420,Boston 004,E01026015,Boston 004B,660,684,0,0
E07000136,Boston,E02005420,Boston 004,E01026026,Boston 004C,840,862,0,0
E07000136,Boston,E02005420,Boston 004,E01026027,Boston 004D,790,752,38,4.81
E07000136,Boston,E02005420,Boston 004,E01026028,Boston 004E,870,771,99,11.38
E07000136,Boston,E02005422,Boston 006,E01026016,Boston 006A,1070,247,823,76.92
E07000136,Boston,E02005422,Boston 006,E01026033,Boston 006B,870,337,533,61.26
E07000136,Boston,E02005422,Boston 006,E01026034,Boston 006C,850,602,248,29.18
E07000136,Boston,E02005423,Boston 007,E01026017,Boston 007A,710,,,
E07000136,Boston,E02005423,Boston 007,E01026018,Boston 007B,770,350,420,54.55
E07000136,Boston,E02005423,Boston 007,E01026019,Boston 007C,1190,980,210,17.65
E07000136,Boston,E02005423,Boston 007,E01026020,Boston 007D,960,992,0,0
E07000136,Boston,E02005423,Boston 007,E01026041,Boston 007E,630,580,50,7.94
E07000136,Boston,E02006864,Boston 008,E01026013,Boston 008A,620,561,59,9.52
E07000136,Boston,E02006864,Boston 008,E01026014,Boston 008B,830,678,152,18.31
E07000136,Boston,E02006864,Boston 008,E01026022,Boston 008C,830,796,34,4.1
E07000136,Boston,E02006864,Boston 008,E01026038,Boston 008D,590,602,0,0
E07000136,Boston,E02006864,Boston 008,E01026040,Boston 008E,520,579,0,0
E07000136,Boston,E02006865,Boston 009,E01026031,Boston 009B,700,694,6,0.86
E07000136,Boston,E02006865,Boston 009,E01026035,Boston 009C,950,1057,0,0
E07000136,Boston,E02006865,Boston 009,E01026039,Boston 009D,510,487,23,4.51
E07000136,Boston,E02006865,Boston 009,E01034683,Boston 009E,560,496,64,11.43
E07000136,Boston,E02006865,Boston 009,E01034684,Boston 009F,520,536,0,0
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026045,East Lindsey 001A,910,374,536,58.9
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026061,East Lindsey 001B,510,503,7,1.37
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026062,East Lindsey 001C,530,486,44,8.3
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026063,East Lindsey 001D,610,662,0,0
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026080,East Lindsey 001E,920,16,904,98.26
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026106,East Lindsey 001F,540,494,46,8.52
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026107,East Lindsey 001G,520,145,375,72.12
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026058,East Lindsey 002A,970,645,325,33.51
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026076,East Lindsey 002B,1000,,,
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026079,East Lindsey 002C,900,,,
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026077,East Lindsey 003A,590,563,27,4.58
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026078,East Lindsey 003B,500,477,23,4.6
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026087,East Lindsey 003C,500,552,0,0
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026088,East Lindsey 003D,640,614,26,4.06
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026090,East Lindsey 003E,550,563,0,0
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026091,East Lindsey 003F,530,486,44,8.3
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026108,East Lindsey 003G,1100,1082,18,1.64
E07000137,East Lindsey,E02005427,East Lindsey 004,E01026081,East Lindsey 004A,1330,1265,65,4.89
E07000137,East Lindsey,E02005427,East Lindsey 004,E01026089,East Lindsey 004C,1030,974,56,5.44
E07000137,East Lindsey,E02005427,East Lindsey 004,E01032986,East Lindsey 004D,640,597,43,6.72
E07000137,East Lindsey,E02005427,East Lindsey 004,E01032987,East Lindsey 004E,690,702,0,0
E07000137,East Lindsey,E02005428,East Lindsey 005,E01026072,East Lindsey 005A,1080,1034,46,4.26
E07000137,East Lindsey,E02005428,East Lindsey 005,E01026073,East Lindsey 005B,1090,1018,72,6.61
E07000137,East Lindsey,E02005428,East Lindsey 005,E01026074,East Lindsey 005C,1190,956,234,19.66
E07000137,East Lindsey,E02005428,East Lindsey 005,E01026099,East Lindsey 005D,980,52,928,94.69
E07000137,East Lindsey,E02005429,East Lindsey 006,E01026103,East Lindsey 006A,1100,1023,77,7
E07000137,East Lindsey,E02005429,East Lindsey 006,E01026104,East Lindsey 006B,1280,1225,55,4.3
E07000137,East Lindsey,E02005429,East Lindsey 006,E01026109,East Lindsey 006C,1320,1105,215,16.29
E07000137,East Lindsey,E02005430,East Lindsey 007,E01026071,East Lindsey 007A,990,,,
E07000137,East Lindsey,E02005430,East Lindsey 007,E01026082,East Lindsey 007B,1060,252,808,76.23
E07000137,East Lindsey,E02005430,East Lindsey 007,E01026121,East Lindsey 007C,1210,,,
E07000137,East Lindsey,E02005431,East Lindsey 008,E01026042,East Lindsey 008A,800,793,7,0.88
E07000137,East Lindsey,E02005431,East Lindsey 008,E01026043,East Lindsey 008B,800,799,1,0.13
E07000137,East Lindsey,E02005431,East Lindsey 008,E01026044,East Lindsey 008C,660,280,380,57.58
E07000137,East Lindsey,E02005431,East Lindsey 008,E01026113,East Lindsey 008D,970,43,927,95.57
E07000137,East Lindsey,E02005431,East Lindsey 008,E01026117,East Lindsey 008E,890,140,750,84.27
E07000137,East Lindsey,E02005432,East Lindsey 009,E01026060,East Lindsey 009A,610,,,
E07000137,East Lindsey,E02005432,East Lindsey 009,E01026068,East Lindsey 009B,1000,270,730,73
E07000137,East Lindsey,E02005432,East Lindsey 009,E01026070,East Lindsey 009C,910,362,548,60.22
E07000137,East Lindsey,E02005432,East Lindsey 009,E01026105,East Lindsey 009D,1050,151,899,85.62
E07000137,East Lindsey,E02005433,East Lindsey 010,E01026048,East Lindsey 010A,960,,,
E07000137,East Lindsey,E02005433,East Lindsey 010,E01026049,East Lindsey 010B,1000,,,
E07000137,East Lindsey,E02005433,East Lindsey 010,E01026050,East Lindsey 010C,950,,,
E07000137,East Lindsey,E02005433,East Lindsey 010,E01026069,East Lindsey 010D,1220,499,721,59.1
E07000137,East Lindsey,E02005434,East Lindsey 011,E01026064,East Lindsey 011A,750,718,32,4.27
E07000137,East Lindsey,E02005434,East Lindsey 011,E01026065,East Lindsey 011B,940,885,55,5.85
E07000137,East Lindsey,E02005434,East Lindsey 011,E01026066,East Lindsey 011C,930,785,145,15.59
E07000137,East Lindsey,E02005434,East Lindsey 011,E01026067,East Lindsey 011D,990,919,71,7.17
E07000137,East Lindsey,E02005435,East Lindsey 012,E01026084,East Lindsey 012A,790,631,159,20.13
E07000137,East Lindsey,E02005435,East Lindsey 012,E01026115,East Lindsey 012C,880,584,296,33.64
E07000137,East Lindsey,E02005435,East Lindsey 012,E01026116,East Lindsey 012D,780,742,38,4.87
E07000137,East Lindsey,E02005435,East Lindsey 012,E01034685,East Lindsey 012E,700,518,182,26
E07000137,East Lindsey,E02005435,East Lindsey 012,E01034686,East Lindsey 012F,670,591,79,11.79
E07000137,East Lindsey,E02005436,East Lindsey 013,E01026046,East Lindsey 013A,600,464,136,22.67
E07000137,East Lindsey,E02005436,East Lindsey 013,E01026047,East Lindsey 013B,630,531,99,15.71
E07000137,East Lindsey,E02005436,East Lindsey 013,E01026055,East Lindsey 013C,520,,,
E07000137,East Lindsey,E02005436,East Lindsey 013,E01026059,East Lindsey 013D,500,,,
E07000137,East Lindsey,E02005436,East Lindsey 013,E01026100,East Lindsey 013E,920,875,45,4.89
E07000137,East Lindsey,E02005436,East Lindsey 013,E01026101,East Lindsey 013F,650,618,32,4.92
E07000137,East Lindsey,E02005437,East Lindsey 014,E01026092,East Lindsey 014A,690,556,134,19.42
E07000137,East Lindsey,E02005437,East Lindsey 014,E01026093,East Lindsey 014B,1050,752,298,28.38
E07000137,East Lindsey,E02005437,East Lindsey 014,E01026095,East Lindsey 014C,670,542,128,19.1
E07000137,East Lindsey,E02005437,East Lindsey 014,E01026114,East Lindsey 014D,900,704,196,21.78
E07000137,East Lindsey,E02005438,East Lindsey 015,E01026083,East Lindsey 015A,840,753,87,10.36
E07000137,East Lindsey,E02005438,East Lindsey 015,E01026094,East Lindsey 015B,910,933,0,0
