Local authority code,Local authority,MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,"Number of 
domestic 
properties","Number of 
domestic 
gas meters","Estimated number 
of properties not 
on the gas grid","Estimated percentage
of properties not 
on the gas grid"
E07000136,Boston,E02005417,Boston 001,E01026007,Boston 001A,500,407,93,18.6
E07000136,Boston,E02005417,Boston 001,E01026008,Boston 001B,600,343,257,42.83
E07000136,Boston,E02005417,Boston 001,E01026009,Boston 001C,540,,,
E07000136,Boston,E02005417,Boston 001,E01026023,Boston 001D,640,,,
E07000136,Boston,E02005417,Boston 001,E01026024,Boston 001E,970,,,
E07000136,Boston,E02005418,Boston 002,E01026010,Boston 002A,740,736,4,0.54
E07000136,Boston,E02005418,Boston 002,E01026030,Boston 002C,1190,1090,100,8.4
E07000136,Boston,E02005418,Boston 002,E01026032,Boston 002D,800,739,61,7.62
E07000136,Boston,E02005418,Boston 002,E01026037,Boston 002E,780,679,101,12.95
E07000136,Boston,E02005418,Boston 002,E01034679,Boston 002F,590,551,39,6.61
E07000136,Boston,E02005418,Boston 002,E01034680,Boston 002G,600,545,55,9.17
E07000136,Boston,E02005419,Boston 003,E01026021,Boston 003B,950,781,169,17.79
E07000136,Boston,E02005419,Boston 003,E01026025,Boston 003C,1190,984,206,17.31
E07000136,Boston,E02005419,Boston 003,E01026036,Boston 003D,730,707,23,3.15
E07000136,Boston,E02005419,Boston 003,E01034681,Boston 003E,670,600,70,10.45
E07000136,Boston,E02005419,Boston 003,E01034682,Boston 003F,770,560,210,27.27
E07000136,Boston,E02005420,Boston 004,E01026012,Boston 004A,570,562,8,1.4
E07000136,Boston,E02005420,Boston 004,E01026015,Boston 004B,700,730,0,0
E07000136,Boston,E02005420,Boston 004,E01026026,Boston 004C,940,924,16,1.7
E07000136,Boston,E02005420,Boston 004,E01026027,Boston 004D,790,750,40,5.06
E07000136,Boston,E02005420,Boston 004,E01026028,Boston 004E,870,778,92,10.57
E07000136,Boston,E02005422,Boston 006,E01026016,Boston 006A,1090,253,837,76.79
E07000136,Boston,E02005422,Boston 006,E01026033,Boston 006B,1030,454,576,55.92
E07000136,Boston,E02005422,Boston 006,E01026034,Boston 006C,870,615,255,29.31
E07000136,Boston,E02005423,Boston 007,E01026017,Boston 007A,720,,,
E07000136,Boston,E02005423,Boston 007,E01026018,Boston 007B,790,361,429,54.3
E07000136,Boston,E02005423,Boston 007,E01026019,Boston 007C,1200,991,209,17.42
E07000136,Boston,E02005423,Boston 007,E01026020,Boston 007D,1180,1188,0,0
E07000136,Boston,E02005423,Boston 007,E01026041,Boston 007E,640,586,54,8.44
E07000136,Boston,E02006864,Boston 008,E01026013,Boston 008A,620,616,4,0.65
E07000136,Boston,E02006864,Boston 008,E01026014,Boston 008B,810,698,112,13.83
E07000136,Boston,E02006864,Boston 008,E01026022,Boston 008C,880,871,9,1.02
E07000136,Boston,E02006864,Boston 008,E01026038,Boston 008D,630,608,22,3.49
E07000136,Boston,E02006864,Boston 008,E01026040,Boston 008E,690,744,0,0
E07000136,Boston,E02006865,Boston 009,E01026031,Boston 009B,760,757,3,0.39
E07000136,Boston,E02006865,Boston 009,E01026035,Boston 009C,1070,1084,0,0
E07000136,Boston,E02006865,Boston 009,E01026039,Boston 009D,540,541,0,0
E07000136,Boston,E02006865,Boston 009,E01034683,Boston 009E,570,504,66,11.58
E07000136,Boston,E02006865,Boston 009,E01034684,Boston 009F,580,627,0,0
