Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
lincolnshire,Validation (2019),AR Baseline (Persistence),0.4335721060784814,0.34208118366360163,0.6149776398761859,0.0,36.666666666666664,76.19047619047619
lincolnshire,Test (2020-2022 Aggregate),AR Baseline (Persistence),0.31384245904437863,0.24450874776917458,0.7831778700807436,0.0,38.17460317460317,75.71428571428571
lincolnshire,Test (2020),AR Baseline (Persistence),0.2990557787909372,0.22813224792808695,0.7790706560277458,0.0,36.666666666666664,76.66666666666667
lincolnshire,Test (2021),AR Baseline (Persistence),0.35939316657842196,0.28029570847831115,0.7195262450477425,0.0,39.76190476190476,76.66666666666667
lincolnshire,Test (2022),AR Baseline (Persistence),0.27729670081980445,0.2250982869011255,0.8295607099224032,0.0,35.23809523809524,77.14285714285715
lincolnshire,Validation (2019),AR Baseline (Momentum Drift),0.5062739574802877,0.37763568816690884,0.4750300314622967,61.42857142857143,24.523809523809522,63.57142857142857
lincolnshire,Test (2020-2022 Aggregate),AR Baseline (Momentum Drift),0.5380740741072421,0.3998860630893523,0.3626700253702513,47.53968253968254,27.53968253968254,59.20634920634921
lincolnshire,Test (2020),AR Baseline (Momentum Drift),0.5996604062103049,0.44010524157267333,0.11169981124136918,48.57142857142857,28.57142857142857,62.142857142857146
lincolnshire,Test (2021),AR Baseline (Momentum Drift),0.5349702722953756,0.39789909988310457,0.37854183673251773,43.57142857142857,28.809523809523807,58.0952380952381
lincolnshire,Test (2022),AR Baseline (Momentum Drift),0.47200141171716986,0.36165384781227894,0.5061820108267414,50.476190476190474,28.095238095238095,63.57142857142857
lincolnshire,Validation (2019),Multimodal Ridge,0.3157818338769222,0.23176940705190716,0.7957615203864737,83.57142857142857,38.333333333333336,77.61904761904762
lincolnshire,Test (2020-2022 Aggregate),Multimodal Ridge,0.2575405831934179,0.19817153675376664,0.8539937119173104,71.19047619047619,40.476190476190474,80.71428571428572
