Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
lincolnshire,Validation (2019 Pre-COVID),AR Baseline (Persistence),0.4335721060784814,0.34208118366360163,0.6149776398761859,0.0,36.666666666666664,76.19047619047619
lincolnshire,Test (2020-2022 Aggregate),AR Baseline (Persistence),0.31384245904437863,0.24450874776917458,0.7831778700807436,0.0,38.17460317460317,75.71428571428571
lincolnshire,Test (2020),AR Baseline (Persistence),0.2990557787909372,0.22813224792808695,0.7790706560277458,0.0,36.666666666666664,76.66666666666667
lincolnshire,Test (2021),AR Baseline (Persistence),0.35939316657842196,0.28029570847831115,0.7195262450477425,0.0,39.76190476190476,76.66666666666667
lincolnshire,Test (2022),AR Baseline (Persistence),0.27729670081980445,0.2250982869011255,0.8295607099224032,0.0,35.23809523809524,77.14285714285715
lincolnshire,Validation (2019 Pre-COVID),AR Baseline (Momentum Drift),0.5062739574802877,0.37763568816690884,0.4750300314622967,61.42857142857143,24.523809523809522,63.57142857142857
lincolnshire,Test (2020-2022 Aggregate),AR Baseline (Momentum Drift),0.5380740741072421,0.3998860630893523,0.3626700253702513,47.53968253968254,27.53968253968254,59.20634920634921
lincolnshire,Test (2020),AR Baseline (Momentum Drift),0.5996604062103049,0.44010524157267333,0.11169981124136918,48.57142857142857,28.57142857142857,62.142857142857146
lincolnshire,Test (2021),AR Baseline (Momentum Drift),0.5349702722953756,0.39789909988310457,0.37854183673251773,43.57142857142857,28.809523809523807,58.0952380952381
lincolnshire,Test (2022),AR Baseline (Momentum Drift),0.47200141171716986,0.36165384781227894,0.5061820108267414,50.476190476190474,28.095238095238095,63.57142857142857
lincolnshire,Validation (2019 Pre-COVID),Multimodal Ridge,0.31513506324091434,0.23153682321929184,0.7965972883827128,83.80952380952381,39.523809523809526,78.33333333333333
lincolnshire,Test (2020-2022 Aggregate),Multimodal Ridge,0.2569706367321059,0.19796874570652645,0.8546392310542675,71.11111111111111,39.84126984126984,80.63492063492063
lincolnshire,Test (2020),Multimodal Ridge,0.2620806816683816,0.20240325095758005,0.830324544197765,66.19047619047619,37.61904761904762,80.95238095238095
lincolnshire,Test (2021),Multimodal Ridge,0.26768752741299434,0.199312590413888,0.8444002586588305,79.28571428571428,42.857142857142854,80.23809523809524
lincolnshire,Test (2022),Multimodal Ridge,0.24033066469193148,0.1921903957481113,0.8719738496594713,67.85714285714286,36.666666666666664,81.9047619047619
lincolnshire,Validation (2019 Pre-COVID),Multimodal ElasticNet,0.32722934705380036,0.23972394709189107,0.7806852832281603,83.0952380952381,39.76190476190476,77.14285714285715
lincolnshire,Test (2020-2022 Aggregate),Multimodal ElasticNet,0.2489703318545448,0.19293277708679993,0.86354941347926,72.53968253968253,40.63492063492063,80.47619047619048
lincolnshire,Test (2020),Multimodal ElasticNet,0.2431549610332935,0.18922130257298903,0.8539453881922223,68.80952380952381,38.57142857142858,82.85714285714286
lincolnshire,Test (2021),Multimodal ElasticNet,0.26884211302850153,0.20152264864626682,0.8430551032562503,79.52380952380952,42.142857142857146,80.95238095238095
lincolnshire,Test (2022),Multimodal ElasticNet,0.2335770999446531,0.1880543800411439,0.8790681113373966,69.28571428571428,35.95238095238095,81.66666666666667
lincolnshire,Validation (2019 Pre-COVID),Multimodal Random Forest,0.3264507526860214,0.24159035133267917,0.7817276961956454,83.0952380952381,40.0,75.23809523809524
lincolnshire,Test (2020-2022 Aggregate),Multimodal Random Forest,0.268799263848319,0.2039410693821862,0.8409490159583509,71.03174603174604,39.20634920634921,79.92063492063492
lincolnshire,Test (2020),Multimodal Random Forest,0.2521241166493653,0.1945084581244424,0.8429717522883267,68.0952380952381,42.857142857142854,80.71428571428572
lincolnshire,Test (2021),Multimodal Random Forest,0.2731504973697398,0.2047709885686043,0.8379844909931893,77.14285714285715,39.285714285714285,80.47619047619048
lincolnshire,Test (2022),Multimodal Random Forest,0.2803236849191228,0.212543761453512,0.825819353412098,67.85714285714286,33.80952380952381,79.52380952380952
lincolnshire,Validation (2019 Pre-COVID),Multimodal Extra-Trees,0.33039319965523667,0.24410745618961263,0.7764238447725574,83.80952380952381,40.0,76.19047619047619
lincolnshire,Test (2020-2022 Aggregate),Multimodal Extra-Trees,0.2723910376554983,0.20346018365634944,0.8366700464216057,70.31746031746032,39.04761904761905,79.84126984126985
lincolnshire,Test (2020),Multimodal Extra-Trees,0.2476964912732949,0.19019568853941524,0.8484385629334696,68.80952380952381,39.04761904761905,80.0
lincolnshire,Test (2021),Multimodal Extra-Trees,0.28248766118204216,0.21015423362412783,0.8267187531773552,76.42857142857142,40.0,79.76190476190477
lincolnshire,Test (2022),Multimodal Extra-Trees,0.28537309206706163,0.2100306288055053,0.8194878855551787,65.71428571428571,33.80952380952381,79.28571428571428
lincolnshire,Validation (2019 Pre-COVID),Multimodal LightGBM,0.33851292801729405,0.24834951204753225,0.765299614793399,80.71428571428572,38.80952380952381,77.38095238095238
lincolnshire,Test (2020-2022 Aggregate),Multimodal LightGBM,0.2786607300269398,0.20831218250159514,0.8290647027717217,70.55555555555556,40.79365079365079,78.96825396825396
lincolnshire,Test (2020),Multimodal LightGBM,0.25542232183330976,0.19538854872849207,0.8388364957238128,69.28571428571428,41.42857142857143,80.71428571428572
lincolnshire,Test (2021),Multimodal LightGBM,0.28695512771701603,0.2110580770136054,0.8211946217326682,77.14285714285715,39.523809523809526,77.85714285714286
