Scope,Year,Mean_Projected_SAMHI,Mean_Change_vs_2022,Pct_Areas_Worsening,Pct_Areas_Improving,Total_LSOAs,High_Risk_Decile_9_10_Count
lincolnshire,2023,1.1677058367877273,0.13890082373854976,85.74712643678161,14.25287356321839,435,85
lincolnshire,2024,1.2929735939110467,0.26416858086186934,97.01149425287356,2.9885057471264367,435,85
lincolnshire,2025,1.4111355721417667,0.3823305590925892,98.85057471264368,1.1494252873563218,435,85
national,2023,0.8239772573977762,0.12073947716628895,77.247815138498,22.752184861502002,33755,6655
national,2024,0.9135910659722999,0.21035328574081277,83.32395200711005,16.67604799288994,33755,6646
national,2025,0.9870571102227639,0.2838193299912765,85.84802251518293,14.151977484817063,33755,6643
