LSOA11CD,LSOA21CD,LSOA21NM,LAD22NM,lsoa11,is_lincolnshire,year,baseline_2022,projection_model,horizon_years,pred_multimodal_ridge,projected_change_multimodal_ridge_vs_2022,projected_annual_change_multimodal_ridge,projected_decile_multimodal_ridge,ci_lower_95_multimodal_ridge,ci_upper_95_multimodal_ridge,pred_multimodal_elasticnet,projected_change_multimodal_elasticnet_vs_2022,projected_annual_change_multimodal_elasticnet,projected_decile_multimodal_elasticnet,ci_lower_95_multimodal_elasticnet,ci_upper_95_multimodal_elasticnet,pred_multimodal_random_forest,projected_change_multimodal_random_forest_vs_2022,projected_annual_change_multimodal_random_forest,projected_decile_multimodal_random_forest,ci_lower_95_multimodal_random_forest,ci_upper_95_multimodal_random_forest,pred_multimodal_extra-trees,projected_change_multimodal_extra-trees_vs_2022,projected_annual_change_multimodal_extra-trees,projected_decile_multimodal_extra-trees,ci_lower_95_multimodal_extra-trees,ci_upper_95_multimodal_extra-trees,pred_multimodal_lightgbm,projected_change_multimodal_lightgbm_vs_2022,projected_annual_change_multimodal_lightgbm,projected_decile_multimodal_lightgbm,ci_lower_95_multimodal_lightgbm,ci_upper_95_multimodal_lightgbm,pred_multimodal_xgboost,projected_change_multimodal_xgboost_vs_2022,projected_annual_change_multimodal_xgboost,projected_decile_multimodal_xgboost,ci_lower_95_multimodal_xgboost,ci_upper_95_multimodal_xgboost,pred_multimodal_catboost,projected_change_multimodal_catboost_vs_2022,projected_annual_change_multimodal_catboost,projected_decile_multimodal_catboost,ci_lower_95_multimodal_catboost,ci_upper_95_multimodal_catboost,pred_explainable_boosting_machine_(ebm),projected_change_explainable_boosting_machine_(ebm)_vs_2022,projected_annual_change_explainable_boosting_machine_(ebm),projected_decile_explainable_boosting_machine_(ebm),ci_lower_95_explainable_boosting_machine_(ebm),ci_upper_95_explainable_boosting_machine_(ebm),pred_stacking_ensemble_(super_learner),projected_change_stacking_ensemble_(super_learner)_vs_2022,projected_annual_change_stacking_ensemble_(super_learner),projected_decile_stacking_ensemble_(super_learner),ci_lower_95_stacking_ensemble_(super_learner),ci_upper_95_stacking_ensemble_(super_learner),pred_ar_baseline_persistence,projected_change_ar_baseline_persistence_vs_2022,projected_annual_change_ar_baseline_persistence,projected_decile_ar_baseline_persistence,ci_lower_95_ar_baseline_persistence,ci_upper_95_ar_baseline_persistence,pred_ar_baseline_momentum_drift,projected_change_ar_baseline_momentum_drift_vs_2022,projected_annual_change_ar_baseline_momentum_drift,projected_decile_ar_baseline_momentum_drift,ci_lower_95_ar_baseline_momentum_drift,ci_upper_95_ar_baseline_momentum_drift,projected_change_vs_2022,projected_annual_change,projected_decile,ci_lower_95,ci_upper_95
E01026007,E01026007,Boston 001A,Boston,E01026007,1,2023,0.770657473144537,Multimodal ElasticNet,1,0.8155632501344778,0.044905776989940804,0.044905776989940804,3,0.3326255007418507,1.2985009995271048,0.7948393526739612,0.02418187952942419,0.02418187952942419,3,0.30564131925719495,1.2840373860907275,0.7484627545585191,-0.02219471858601796,-0.02219471858601796,3,0.4311521089345409,1.0657734001824972,0.7306333651766823,-0.040024107967854716,-0.040024107967854716,3,0.38743417854711526,1.0738325518062495,0.7530333787517817,-0.017624094392755363,-0.017624094392755363,3,0.3720847071311272,1.133982050372436,0.74349403,-0.027163439331060468,-0.027163439331060468,3,0.39905606702894025,1.0879320005980129,0.7911924759902136,0.020535002845676553,0.020535002845676553,3,0.34551891225607345,1.2368660397243536,0.802933908730412,0.03227643558587501,0.03227643558587501,3,0.34575491240194234,1.2601129050588817,0.7291166096665505,-0.04154086347798658,-0.04154086347798658,3,0.27399301992130276,1.1842401994117981,0.770657473144537,0.0,0.0,5,0.13977051949225905,1.4015444267968151,1.2622088327158711,0.4915513595713341,0.4915513595713341,7,0.32806309241328646,2.1963545730184557,0.02418187952942419,0.02418187952942419,3,0.30564131925719495,1.2840373860907275
E01026007,E01026007,Boston 001A,Boston,E01026007,1,2024,0.770657473144537,Multimodal ElasticNet,2,0.9930460982684803,0.2223886251239433,0.1774828481340025,3,0.31006898329548804,1.6760232132414727,0.9208430703789581,0.15018559723442104,0.12600371770499685,3,0.22901257683472065,1.6126735639231955,0.8730472702466763,0.10238979710213925,0.1245845156881572,3,0.42430225171988334,1.3217922887734692,0.8484787757887148,0.07782130264417775,0.11784541061203246,3,0.363121831461766,1.3338357201156636,0.8745872080584389,0.1039297349139019,0.12155382930665726,3,0.3358444300844947,1.4133299860323831,0.86362624,0.09296876853942293,0.1201322078704834,3,0.376517397661055,1.350735085706865,0.9018044394023021,0.13114696625776512,0.11061196341208857,3,0.27152684117833115,1.5320820376262732,0.9608579169681487,0.19020044382361168,0.15792400823773667,3,0.3143091799283074,1.60740665400799,0.8150467618693474,0.044389288724810405,0.08593015220279698,3,0.17140480869568964,1.4586887150430052,0.770657473144537,0.0,0.0,5,-0.1215514130347608,1.6628663593238349,1.7537601922872053,0.9831027191426682,0.4915513595713341,8,0.43267861711823485,3.0748417674561757,0.15018559723442104,0.12600371770499685,3,0.22901257683472065,1.6126735639231955
E01026007,E01026007,Boston 001A,Boston,E01026007,1,2025,0.770657473144537,Multimodal ElasticNet,3,1.1828125347785257,0.41215506163398863,0.18976643651004532,4,0.3463398159375298,2.0192852536195214,1.086319689694444,0.315662216549907,0.16547661931548596,4,0.23900384085382742,1.9336355385350608,1.0463311407477205,0.27567366760318346,0.1732838705010442,4,0.49673298074450734,1.5959293007509336,0.982485008183941,0.211827535039404,0.13400623239522624,4,0.3880465798252176,1.5769234365426645,0.9332642992136219,0.16260682606908483,0.05867709115518294,3,0.2734418448907763,1.5930867535364674,0.94751304,0.17685557073592562,0.08388680219650269,3,0.35092898535392447,1.544097102407001,1.0324396676110728,0.2617821944665357,0.1306352282087706,4,0.26051041163325583,1.8043689235888896,1.0233059033598424,0.25264843021530536,0.06244798639169369,3,0.23144865356558775,1.815163153154097,0.9290949943454465,0.15843752120090948,0.11404823247609908,4,0.1407978131835439,1.7173921755073491,0.770657473144537,0.0,0.0,5,-0.32207078441355974,1.8633857307026338,2.2453115518585394,1.4746540787140023,0.4915513595713341,9,0.6273236679804208,3.863299435736658,0.315662216549907,0.16547661931548596,4,0.23900384085382742,1.9336355385350608
E01026008,E01026008,Boston 001B,Boston,E01026008,1,2023,0.911751258836643,Multimodal ElasticNet,1,0.9583520176542142,0.0466007588175712,0.0466007588175712,4,0.47541426826158706,1.4412897670468414,0.9160691406480563,0.004317881811413349,0.004317881811413349,4,0.42687110723129007,1.4052671740648226,0.8334833218407844,-0.07826793699585854,-0.07826793699585854,4,0.5161726762168063,1.1507939674647627,0.849991048365242,-0.06176021047140101,-0.06176021047140101,4,0.5067918617356749,1.193190234994809,0.8246838824768421,-0.08706737635980089,-0.08706737635980089,4,0.4437352108561876,1.2056325540974966,0.84897184,-0.06277941511716056,-0.06277941511716056,4,0.5045338769349461,1.1934098105040187,0.9079958394964885,-0.0037554193401544422,-0.0037554193401544422,4,0.4623222757623484,1.3536694032306287,0.881848126561654,-0.029903132274988975,-0.029903132274988975,4,0.4246691302331843,1.3390271228901236,0.8200245473503145,-0.0917267114863285,-0.0917267114863285,4,0.3649009576050668,1.2751481370955622,0.911751258836643,0.0,0.0,5,0.280864305184365,1.5426382124889209,1.560758219094981,0.6490069602583379,0.6490069602583379,8,0.6266124787923962,2.4949039593975657,0.004317881811413349,0.004317881811413349,4,0.42687110723129007,1.4052671740648226
E01026008,E01026008,Boston 001B,Boston,E01026008,1,2024,0.911751258836643,Multimodal ElasticNet,2,1.137790691826193,0.2260394329895501,0.1794386741719789,5,0.4548135768532008,1.8207678067991853,1.0326489239451067,0.12089766510846367,0.11657978329705032,4,0.34081843040086923,1.724479417489344,1.076199402447571,0.16444814361092797,0.2427160806067865,5,0.627454383920778,1.524944420974364,0.997641209606336,0.08588995076969297,0.14765016124109398,5,0.5122842652793872,1.4829981539332846,1.0353907597074,0.12363950087075692,0.2107068772305578,5,0.4966479817334557,1.5741335376813441,1.0612295,0.1494782085553248,0.21225762367248535,5,0.5741206233690628,1.5483383114148728,1.0556079697684637,0.14385671093182073,0.14761213027197517,5,0.4253303715444927,1.6858855679924347,1.0388554883340622,0.12710422949741917,0.15700736177240815,4,0.3923067512942209,1.6854042253739034,0.949604133733315,0.037852874896671995,0.1295795863830005,4,0.3059621805596572,1.593246086906973,0.911751258836643,0.0,0.0,5,0.019542372657345153,1.8039601450159408,2.209765179353319,1.2980139205166759,0.6490069602583379,9,0.8886836041843484,3.5308467545222895,0.12089766510846367,0.11657978329705032,4,0.34081843040086923,1.724479417489344
E01026008,E01026008,Boston 001B,Boston,E01026008,1,2025,0.911751258836643,Multimodal ElasticNet,3,1.3334394774111549,0.4216882185745119,0.1956487855849618,5,0.49696675857015904,2.1699121962521506,1.2190615908307387,0.30731033199409574,0.18641266688563207,5,0.3717457419901221,2.0663774396713555,1.1886353244994694,0.2768840656628264,0.11243592205189845,5,0.6390371644962562,1.7382334845026826,1.0974097471083863,0.18565848827174336,0.09976853750205039,5,0.5029713187496629,1.6918481754671097,1.1630070123973728,0.2512557535607298,0.1276162526899729,5,0.5031845580745272,1.8228294667202185,1.1802534,0.2685021276608546,0.11902391910552979,5,0.5836693279709594,1.7768374450240358,1.175933131488767,0.2641818726521241,0.12032516172030339,5,0.4040038755109502,1.947862387466584,1.0767021149086056,0.16495085607196258,0.03784662657454341,4,0.2848448651143509,1.8685593647028602,1.0639207408334956,0.15216948199685265,0.11431660710018066,5,0.275623559671593,1.8522179219953983,0.911751258836643,0.0,0.0,5,-0.18097699872145379,2.0044795163947398,2.8587721396116565,1.9470208807750136,0.6490069602583377,10,1.240784255733538,4.476760023489775,0.30731033199409574,0.18641266688563207,5,0.3717457419901221,2.0663774396713555
E01026009,E01026009,Boston 001C,Boston,E01026009,1,2023,0.717822189311475,Multimodal ElasticNet,1,1.026864515267314,0.3090423259558389,0.3090423259558389,5,0.5439267658746868,1.5098022646599412,0.9678176253158464,0.24999543600437135,0.24999543600437135,5,0.4786195918990801,1.4570156587326126,1.0097914708121254,0.2919692815006504,0.2919692815006504,5,0.6924808251881472,1.3271021164361034,0.9502962114891017,0.2324740221776267,0.2324740221776267,5,0.6070970248595347,1.2934953981186688,1.0450293716465289,0.32720718233505386,0.32720718233505386,6,0.6640807000258744,1.4259780432671834,0.99169433,0.2738721418576534,0.2738721418576534,5,0.6472563643845921,1.3361322979536647,0.9675459270665132,0.2497237377550382,0.2497237377550382,5,0.5218723633323731,1.4132194908006532,0.9597614677398789,0.2419392784284039,0.2419392784284039,5,0.5025824714114092,1.4169404640683485,0.9331780257132525,0.21535583640177747,0.21535583640177747,5,0.4780544359680048,1.3883016154585002,0.717822189311475,0.0,0.0,4,0.08693523565919703,1.348709142963753,0.717061085150017,-0.0007611041614580261,-0.0007611041614580261,4,-0.2170846551525677,1.6512068254526016,0.24999543600437135,0.24999543600437135,5,0.4786195918990801,1.4570156587326126
E01026009,E01026009,Boston 001C,Boston,E01026009,1,2024,0.717822189311475,Multimodal ElasticNet,2,1.1824402982221975,0.4646181089107225,0.1555757829548836,5,0.49946318324920524,1.86541741319519,1.108584032723562,0.3907618434120871,0.14076640740771573,5,0.4167535391793247,1.8004145262677995,1.1051177603176514,0.3872955710061764,0.09532628950552602,5,0.6563727417908585,1.5538627788444443,1.0339478256501418,0.31612563633866675,0.08365161416104006,5,0.548590881323193,1.5193047699770905,1.081438571280632,0.363616381969157,0.03640919963410316,5,0.5426957933066878,1.6201813492545762,1.0627283,0.34490609647801473,0.07103395462036133,5,0.5756194417665847,1.5498371298123947,1.0575117869146868,0.3396895976032118,0.08996585984817362,5,0.42723418869071583,1.6877893851386578,1.0502945124585568,0.33247232314708175,0.09053304471867785,4,0.4037457754187155,1.696843249498398,1.0204820473650886,0.3026598580536136,0.08730402165183615,5,0.37684009419143083,1.6641240005387465,0.717822189311475,0.0,0.0,4,-0.17438669686782282,1.610031075490773,0.716299980988559,-0.0015222083229160521,-0.0007611041614580261,4,-0.6047815941804114,2.0373815561575292,0.3907618434120871,0.14076640740771573,5,0.4167535391793247,1.8004145262677995
E01026009,E01026009,Boston 001C,Boston,E01026009,1,2025,0.717822189311475,Multimodal ElasticNet,3,1.3481631024250997,0.6303409131136247,0.1657228042029022,5,0.5116903835841039,2.1846358212660957,1.235860844329011,0.5180386550175361,0.12727681160544901,5,0.3885449954883945,2.083176693169628,1.2219864581529367,0.5041642688414617,0.1168686978352853,5,0.6723882981497236,1.7715846181561499,1.1184006168512142,0.40057842753973916,0.08445279120107241,5,0.5239621884924908,1.7128390452099376,1.1917294134688632,0.4739072241573882,0.11029084218823115,5,0.5319069591460176,1.8515518677917089,1.1279137,0.4100915241437252,0.06518542766571045,5,0.531329654928662,1.7244977719817385,1.1144325400752904,0.39661035076381534,0.05692075316060352,5,0.34250328409747344,1.8863617960531074,1.1063109026879003,0.3884887133764253,0.05601639022934357,4,0.3144536528936457,1.898168152482155,1.109698499433871,0.391876310122396,0.08921645206878237,5,0.3214013182719684,1.8979956805957736,0.717822189311475,0.0,0.0,4,-0.37490606824662176,1.8105504468695717,0.7155388768271009,-0.002283312484374078,-0.0007611041614580261,4,-0.9024490070510176,2.3335267607052197,0.5180386550175361,0.12727681160544901,5,0.3885449954883945,2.083176693169628
E01026023,E01026023,Boston 001D,Boston,E01026023,1,2023,0.731016705156051,Multimodal ElasticNet,1,1.1931402305520935,0.4621235253960425,0.4621235253960425,6,0.7102024811594664,1.6760779799447207,1.1832153510332046,0.45219864587715364,0.45219864587715364,6,0.6940173176164384,1.672413384449971,1.1365840357453074,0.4055673305892564,0.4055673305892564,6,0.8192733901213293,1.4538946813692855,1.0838377123102991,0.35282100715424813,0.35282100715424813,6,0.7406385256807321,1.4270368989398663,1.0941824132508469,0.36316570809479587,0.36316570809479587,6,0.7132337416301924,1.4751310848715014,1.0709788,0.3399620555632483,0.3399620555632483,6,0.726540793934763,1.4154167275038356,1.1550656603420575,0.4240489551860065,0.4240489551860065,6,0.7093920966079174,1.6007392240761975,1.198366749948673,0.467350044792622,0.467350044792622,6,0.7411877536202033,1.6555457462771428,1.1263310447932882,0.39531433963723717,0.39531433963723717,6,0.6712074550480405,1.5814546345385359,0.731016705156051,0.0,0.0,4,0.10012975150377301,1.361903658808329,0.757641315790014,0.02662461063396304,0.02662461063396304,4,-0.17650442451257065,1.6917870560925987,0.45219864587715364,0.45219864587715364,6,0.6940173176164384,1.672413384449971
