Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
national,Validation (2019 Pre-COVID),AR Baseline (Persistence),0.3771706662275937,0.2950250261394169,0.8355946922971998,0.0,44.967011682101564,85.89371103444101
national,Test (2020-2022 Aggregate),AR Baseline (Persistence),0.3290784848866397,0.2502066018932608,0.8698777658232453,0.0,44.24268103222161,84.78804753545992
national,Test (2020),AR Baseline (Persistence),0.32610054078619793,0.2447257471491584,0.8653725126641114,0.0,44.24671630046607,84.93432600932147
national,Test (2021),AR Baseline (Persistence),0.358603927631317,0.27853504279069163,0.8489196644014453,0.0,46.10495732703831,86.84401670601054
national,Test (2022),AR Baseline (Persistence),0.29989932982953027,0.22735901573993247,0.8917822157537306,0.0,46.253253435022096,87.05889474002785
national,Validation (2019 Pre-COVID),AR Baseline (Momentum Drift),0.5029592307893112,0.3807227873906955,0.7076483274503662,60.958779734882874,33.6238726469342,71.43332728043097
national,Test (2020-2022 Aggregate),AR Baseline (Momentum Drift),0.5503313643028455,0.41772084339484494,0.6360840734665484,42.21193228819885,32.32350745515808,68.8305792627565
national,Test (2020),AR Baseline (Momentum Drift),0.5740979772465801,0.4307957259871144,0.5827438604713729,42.6215120150112,33.68742812178439,71.41214212214757
national,Test (2021),AR Baseline (Momentum Drift),0.5476960913039949,0.42022342609699587,0.6475827644250302,41.79831729314206,33.07608498274923,70.18642939289388
national,Test (2022),AR Baseline (Momentum Drift),0.5282370071265406,0.40214337810042433,0.6642582928863061,42.21596755644331,35.33684401670601,73.14629865020277
national,Validation (2019 Pre-COVID),Multimodal Ridge,0.28900993991463325,0.21750509348497407,0.9034692732457393,78.63930754796925,47.43962229889232,88.33908359058168
national,Test (2020-2022 Aggregate),Multimodal Ridge,0.3358495198495949,0.26161779155997383,0.8644679533106645,60.21528156084176,46.70621229546234,87.56532090470715
national,Test (2020),Multimodal Ridge,0.3619007059734479,0.2830160534902334,0.8341904415237217,51.906664245505716,46.477210822589434,87.40088372374554
national,Test (2021),Multimodal Ridge,0.28591988398488327,0.21821034051597493,0.9039568103111346,76.66303492524665,48.55940923672901,88.8747654500333
national,Test (2022),Multimodal Ridge,0.3544889263539852,0.2836269806737132,0.8487995815149366,52.0761455117729,48.89837176926336,89.32873312753465
national,Validation (2019 Pre-COVID),Multimodal ElasticNet,0.29401759928761584,0.22014779559539982,0.9000951272856446,78.41837661158524,47.31553780037528,88.20591973851461
national,Test (2020-2022 Aggregate),Multimodal ElasticNet,0.3199516064230362,0.24876119023427928,0.8769954650704873,61.57617577628473,46.92411678066299,87.67528196436858
national,Test (2020),Multimodal ElasticNet,0.3396025557856386,0.2650368455199735,0.8539933615339544,54.30058713152957,46.56195145572302,87.37364566309546
national,Test (2021),Multimodal ElasticNet,0.2836601860805453,0.215999304003158,0.9054689190545585,76.97173294594758,48.52914472489559,88.87173899884995
national,Test (2022),Multimodal ElasticNet,0.3336376691781926,0.26524742117970623,0.866063852139147,53.45620725137703,49.016403365413716,89.29846861570124
national,Validation (2019 Pre-COVID),Multimodal Random Forest,0.29344247215172703,0.2199934858296456,0.9004855923918962,78.37297984383513,47.164215241208154,88.12117910538103
national,Test (2020-2022 Aggregate),Multimodal Random Forest,0.3279367580204555,0.2544839515145265,0.8707791090495005,61.44906482658434,46.42172588422815,87.29193148114521
national,Test (2020),Multimodal Random Forest,0.34693885944755176,0.2700900229615644,0.8476169734370912,54.055444585678835,46.17456570425519,87.14363537316143
national,Test (2021),Multimodal Random Forest,0.287377215862823,0.218877692749568,0.9029752520858139,76.89607166636402,47.981357060710614,88.59633194116579
national,Test (2022),Multimodal Random Forest,0.3459412022165976,0.27448413883244716,0.8560034033508618,53.395678227710185,48.39900732401186,88.95647963198353
