feature,Ridge Regression,Random Forest,LightGBM
lag_1,22.06098958000396,23.66477508151982,17.428087986463623
lag_2,18.59530580333856,0.7976220124395275,12.81725888324873
rolling_mean_3yr,19.669804203735684,36.93937712317765,11.88663282571912
delta_1,8.823955368779753,0.525817484405898,10.829103214890017
delta_2,5.383593051720492,0.6125392390507283,8.756345177664974
rolling_max_3yr,1.706480101081602,34.69161902032902,8.41793570219966
rolling_std_3yr,0.8258616893271479,0.6818598677292103,7.656514382402707
acceleration,2.2645830625313366,0.4827794982176066,7.148900169204738
lag_3,16.075999388734008,0.7369517735114282,6.133671742808799
rolling_min_3yr,0.405814459574244,0.6003978023759211,4.822335025380711
decile_lag_1,4.187613291173233,0.26626109724320524,4.103214890016921
